clientid,recency,frequency,monetaryvalue,avgtransactionvalue,recency_log,avg_transaction_log
04507997-5968-4525-bd22-fc3a7a78d1db,4,7,3731.65,533.09,1.6094379124341003,6.280564364084881
046eaadb-ca28-401e-8a7c-e8a5edb613f3,58,3,4458.07,1486.02,4.07753744390572,7.304529396268832
04801009-ecad-43fe-a85d-6b3963ada739,77,10,6045.01,604.5,4.356708826689592,6.406054562993147
048b5a86-42b1-4d4c-ac73-eac12660ca71,297,1,260.04,260.04,5.697093486505405,5.564673652285065
04d1093f-b1e0-4e4f-b8ee-c30c16bcb0d9,140,6,3760.97,626.83,4.948759890378168,6.442269429185225
050950c5-c502-4713-86c9-f51953066997,93,9,6252.03,694.67,4.543294782270004,6.544875409964454
0516ee71-aebe-47b0-8e05-5860b20cfc91,331,1,1989.8,1989.8,5.805134968916488,7.596291846984399
052175a2-e7bd-4bee-8158-41776aa5ae11,7,12,7339.88,611.66,2.0794415416798357,6.417810132795502
052a5dbb-8db8-49cf-80a9-97ef6e5d17cf,21,10,7275.53,727.55,3.091042453358316,6.591056257459863
053021b8-df8b-4eef-bc18-e5e78402f1a1,127,6,4873.48,812.25,4.852030263919617,6.7010385653534605
0551a9cc-46f6-406b-a572-f1f033670aec,24,11,12158.65,1105.33,3.2188758248682006,7.008803510091616
05556c3f-ee89-463a-8c10-4d3e165f3f47,18,6,5136.83,856.14,2.9444389791664403,6.753601265815989
05633b45-c77e-4da6-985d-990da9e0ef14,368,2,711.6600000000001,355.83,5.910796644040527,5.8772594778887575
05b3ab30-554a-4d9d-9199-9383b3afa038,1,13,7964.04,612.62,0.6931471805599453,6.419375844045977
05c39379-0ae8-4eac-95a3-b77395d3649a,140,7,6705.85,957.98,4.948759890378168,6.865870219608617
05d87886-8ce8-432f-b35a-af4f5cc8ba49,534,1,581.38,581.38,6.282266746896006,6.3671231556334815
05eb7f4b-146f-4e0c-a364-feed9c2f9cdf,54,7,4990.3,712.9,4.007333185232471,6.570742896508415
0632c4e8-e17d-47cc-a5d2-47553678366f,11,7,6392.22,913.17,2.4849066497880004,6.818016549782741
06523735-f7bf-4ba4-8db8-35b1a4247a47,55,9,7344.72,816.08,4.02535169073515,6.705737009282876
06587aa3-88c0-4f6d-baa6-a27e2df9fcb9,8,9,6296.889999999999,699.65,2.1972245773362196,6.552008475616226
06613d47-9359-45e2-943c-70c6bccc934f,98,9,6610.38,734.49,4.59511985013459,6.600536943755997
067d6fa7-a89b-47de-abbe-3382b9fb7153,203,4,869.75,217.44,5.318119993844216,5.386511377283953
067e5abf-f019-4929-afd4-53e16c7cfcda,200,7,4390.9400000000005,627.28,5.303304908059076,6.442985926974831
06b6c259-7a6f-468b-9b2f-bd15aa20674f,17,9,7948.95,883.22,2.8903717578961645,6.784705900453226
06bd7791-e8b4-41ce-9574-9a2c575d77fd,537,1,655.9,655.9,6.2878585601617845,6.487531799898427
06ca9107-8ef7-42f9-aa6d-5a8b45f42998,9,5,5198.139999999999,1039.63,2.302585092994046,6.947581577962071
06e4f8c0-e4f8-469e-878f-cba8e779de5c,61,4,2103.49,525.87,4.127134385045092,6.2669538387941275
071f0b7a-bf30-4109-9e7a-cdfe36708255,81,7,4931.6,704.51,4.406719247264253,6.55892094553685
073c9d1a-61d9-47d2-920b-2c0ed36924bf,50,11,7245.89,658.72,3.9318256327243257,6.491815502579952
075484c7-946b-4324-bec1-0ce8a34dda49,27,11,8839.03,803.55,3.332204510175204,6.690283114905159
07697ff2-cdb9-4f18-95af-39788eb11d7d,66,8,8979.36,1122.42,4.204692619390966,7.024132883037598
076b9b95-5d16-421a-a334-e7226bc813f2,17,11,9391.11,853.74,2.8903717578961645,6.750797329123684
07741dc2-aba8-4aae-9569-9593fc0d35b3,74,8,5512.62,689.08,4.31748811353631,6.536807532899533
077e8b54-6994-426e-a588-8307015208cb,329,5,3276.48,655.3,5.799092654460526,6.486618001479677
07858e54-b8fd-4d29-bd51-4fbbc7adf8a1,22,9,7688.27,854.25,3.1354942159291497,6.751393823857714
0785fdb3-685a-451e-bcc3-47fa36c2d5ec,90,4,4525.02,1131.25,4.51085950651685,7.031962082436324
07a9d616-3d89-4bd5-a78e-e2503fb8c61c,116,5,4570.58,914.12,4.762173934797756,6.819055204217418
07cbadbd-39b5-48e1-9c8f-262fb5fdeb3d,12,14,16381.71,1170.12,2.5649493574615367,7.065715834863156
07d195e3-551b-45e5-9133-102cae63fee9,348,1,1190.65,1190.65,5.855071922202427,7.0830941803482075
07dec270-416a-473a-9192-13fe5beba16c,105,5,3615.01,723.0,4.663439094112067,6.584791392385716
07e26869-01cc-4ea4-90b8-9767f7305b1f,447,2,274.66,137.33,6.104793232414985,4.929642134886724
08019425-3efb-4bbb-9bf7-726979ceea6e,48,11,7996.45,726.95,3.8918202981106265,6.590232364519335
082c429e-5659-4de8-8ba4-3de22ac8c73b,21,9,6717.360000000001,746.37,3.091042453358316,6.616560377096736
082c6f3f-b4c4-4676-9f2f-d5ee6b490633,116,5,2731.1000000000004,546.22,4.762173934797756,6.304850915348019
08600e34-2130-44d2-87e2-cb9f77366e2b,37,2,603.96,301.98,3.6375861597263857,5.713666796730178
086be25c-1b19-433b-80a1-c8fef6791ad5,33,4,2260.38,565.1,3.5263605246161616,6.338770741042614
0873197d-edb3-41bd-9305-eb63003170ee,63,3,3138.13,1046.04,4.1588830833596715,6.953722414534273
0895adc5-9086-4465-82df-77ea01feedd7,92,10,7795.41,779.54,4.532599493153256,6.659985987841523
08c1be59-a3e5-461c-b8ef-51787c2a37bf,57,7,6136.01,876.57,4.060443010546419,6.77715672423817
08c1fd53-7655-49af-8d72-bfdabf5433e5,62,11,7230.69,657.34,4.143134726391533,6.489721515198117
08f1d631-6ea5-4e56-bb29-a9c311a4aab0,5,6,2266.35,377.72,1.791759469228055,5.936797145765674
09146ce9-d868-4188-a7af-27eeae485fbd,197,3,3327.86,1109.29,5.288267030694535,7.012376521444861
092a878c-e765-44b4-bcdd-7743cc7ef92e,229,12,8385.85,698.82,5.438079308923196,6.550823159119369
09557980-c2c4-498f-aeb4-0c15a66723d6,109,13,11580.91,890.84,4.700480365792417,6.793286744293583
0967f369-023c-456e-8178-6606c631414c,62,11,5935.13,539.56,4.143134726391533,6.292605639243919
0978ed64-392a-4107-86ab-559234909f67,257,3,3342.61,1114.2,5.552959584921617,7.01678904000626
0981a8d7-514e-42ad-b588-a249a8856152,41,5,5129.21,1025.84,3.7376696182833684,6.934241404217964
0991c0bd-a665-4ffa-9450-6ccef0d1aef4,0,8,4124.82,515.6,0.0,6.24726888066174
09affffc-c663-4ac6-b78f-f1ba1419bbfd,703,1,159.6,159.6,6.556778356158042,5.078916801512661
09e8f606-76c2-482a-8468-499c258683af,34,8,4964.0,620.5,3.5553480614894135,6.432135910950766
09e99414-3f3f-43ca-96a7-05a689a1747c,55,10,6787.51,678.75,4.02535169073515,6.52172508351258
0a380850-4108-4809-bef5-74ae90d9b560,134,1,749.34,749.34,4.90527477843843,6.620526437139178
0a53200b-1579-441a-b151-54356c7c915b,4,15,9419.26,627.95,1.6094379124341003,6.444051762284881
0a8b42fe-c37e-478b-aec0-3da31a8aba5c,8,1,381.28,381.28,2.1972245773362196,5.9461533243979785
0ab8f5cb-dc97-489f-9382-770b14543b2e,129,5,4154.92,830.98,4.867534450455582,6.723808402070742
0ad179a4-5ba8-4ac2-babb-a38f13ef5fd5,133,6,3095.18,515.86,4.897839799950911,6.247772044800624
0ae1e47e-da3c-4033-8513-d532fe8811ab,4,10,6537.42,653.74,1.6094379124341003,6.484238210266224
0ae86323-6964-4563-b0cb-bbacd547e145,215,3,2184.18,728.06,5.375278407684165,6.591756033148576
0aef1c57-c1ef-415b-85fa-418cdb85b65c,68,10,9461.49,946.15,4.23410650459726,6.853457475574288
0b031ec3-cef4-4170-a264-025b5f812dea,90,8,8195.0,1024.38,4.51085950651685,6.932818554575806
0b0db683-765a-4c8b-8b4d-33acc2ad53b9,19,8,6611.48,826.44,2.995732273553991,6.718336597069548
0b17e0fc-202d-497d-b32e-279c7d210bbc,238,8,4211.18,526.4,5.476463551931511,6.267959273919186
0b30287a-90dc-4bc9-84fd-9e0756d4e4e9,53,3,2273.02,757.67,3.9889840465642745,6.6315669002415705
0b370a40-7cd7-4529-bebf-46f362042d3d,88,12,7470.32,622.53,4.48863636973214,6.435396879439724
0b37ffe2-0bb1-40ec-ac8e-3bbf534106b1,168,5,2490.31,498.06,5.1298987149230735,6.212726329004173
0b4d5b76-3d09-4f36-9887-a2dd3b77f7a8,100,4,1162.74,290.68,4.61512051684126,5.675657310930353
0b854276-d999-4eb3-9bb3-0ce79fd18b52,52,9,5128.61,569.85,3.970291913552122,6.347126478122337
0bd7c5c1-83e3-4bb2-9d1b-9060a12da71c,19,10,8357.62,835.76,2.995732273553991,6.72953729102092
0bed0610-0612-4dec-85f0-805399706e03,319,4,2980.69,745.17,5.768320995793772,6.614953456280126
0c19d4ec-261f-4ac5-bb33-282f1c5ccbf6,9,2,768.8699999999999,384.43,2.302585092994046,5.954359594154741
0c80982c-ba94-436b-b2e7-916fd23c678d,5,2,920.4,460.2,1.791759469228055,6.133831788394904
0c8ae06f-8ca1-45b6-887e-a6e4dca43be8,137,3,3397.44,1132.48,4.927253685157205,7.033047825327869
0cbc5ad9-b66f-4f00-8a12-ba4ade28ad0b,38,13,12257.31,942.87,3.6635616461296463,6.849988444797945
0cbe2aa4-9a9f-41d4-8807-f95687466c40,271,3,3677.15,1225.72,5.605802066295998,7.112099219810585
0cdac57e-a998-4830-9a7c-758e7ff0c318,84,11,12544.07,1140.37,4.442651256490317,7.039984574245713
0cf2b6de-994e-447e-a519-1ab529d672d2,213,10,11281.24,1128.12,5.365976015021851,7.02919384725252
0cf4e152-2589-4664-ae0f-41b02a73efc3,66,9,7142.01,793.56,4.204692619390966,6.677788502319801
0d1fc803-c49d-4619-b82d-d959904f3462,40,13,11056.12,850.47,3.713572066704308,6.746964267538455
0d2dafbf-e89f-4310-a96c-2324b4379a59,138,8,7413.52,926.69,4.9344739331306915,6.832697625254356
0d3351b2-18e5-4e6d-8893-6c1f07e00cd8,25,7,3328.22,475.46,3.258096538021482,6.166383774135174
0d452ac3-f31c-451a-9498-75ccc90d2e27,76,12,13159.56,1096.63,4.343805421853684,7.000908588959614
0d4c0d32-de63-4203-9eb9-988b8426710e,424,6,3746.52,624.42,6.052089168924417,6.438423424045506
0d76c222-cd89-4672-ae2e-01c50bf20164,272,4,3440.16,860.04,5.60947179518496,6.758140960956043
0d9c8a3b-c3ee-437d-bfe1-26b3ddc89022,0,9,6096.34,677.37,0.0,6.519692861801772
0daa33a8-35b1-4bd8-8159-c6bd592e41da,90,12,7155.13,596.26,4.51085950651685,6.392352529473033
0dad8ac5-299c-4c85-a3ec-cd1d3b7c1fcc,106,7,5717.4400000000005,816.78,4.672828834461906,6.706593351774314
0e0552b1-cdee-4b69-99a9-829ff9c3b120,18,9,8277.18,919.69,2.9444389791664403,6.825123388933632
0e09e5e9-03a9-4ae1-aea0-f55ffdf659be,110,5,4527.35,905.47,4.709530201312334,6.809557935328468
0e0d9902-7165-4eb1-97d2-45716e022e53,68,6,1906.72,317.79,4.23410650459726,5.764532578795478
0e109fa9-273d-4b0e-9a90-92b04637866c,115,11,7530.25,684.57,4.7535901911063645,6.53025060903331
0e399803-a23f-4a07-acd8-33f59d359162,312,2,2318.19,1159.1,5.746203190540153,7.056261487281361
0e5a62a4-0801-4e04-8752-ab1c5d7f0538,128,4,2489.7,622.42,4.859812404361672,6.435220448948869
0e5ab075-982f-43cd-93f0-68e7e406deed,11,5,2248.51,449.7,2.4849066497880004,6.110801929696603
0e806d42-5a59-44a4-8c29-d88c147a2157,252,2,2547.99,1274.0,5.53338948872752,7.150701457592526
0e9259c3-ae38-4a7f-a711-8f01621f482a,17,9,9225.03,1025.0,2.8903717578961645,6.933423025730715
0ef99277-941d-4f98-8f2d-5807c6e7a314,10,11,7655.03,695.91,2.3978952727983707,6.546656277602536
0f1f1c6f-e93c-477a-bd08-c4ecf43f411c,179,4,5860.51,1465.13,5.19295685089021,7.290381555186268
0f48f5c0-e754-4b7d-9c2a-c08e168f1d7f,24,10,7360.18,736.02,3.2188758248682006,6.602615028863196
0f5ae3f9-af16-49be-bdb6-7351c84766c7,3,9,9648.13,1072.01,1.3862943611198906,6.978223062251763
0f71de50-d49c-436e-841e-b084a2c79cf3,103,4,2244.55,561.14,4.6443908991413725,6.331750929191152
0f853075-a5a4-41b5-a999-1a7b003ffc8c,25,13,11853.11,911.78,3.258096538021482,6.816494887703092
0f9c838f-78be-4249-a8ae-8d44a7fe3e3e,120,3,4794.12,1598.04,4.795790545596741,7.37715872815584
0f9e01d4-135b-441e-9579-a6bdaf529864,0,13,10387.46,799.04,0.0,6.684661726417969
0fa59206-94b6-416c-9195-8dcc9b0d5de6,61,1,573.75,573.75,4.127134385045092,6.353935163643291
1009c5a7-89fe-4a7c-9a2c-065ee0234ff2,41,2,2834.1,1417.05,3.7376696182833684,7.25703796740131
1034eb7f-c617-4cb6-8b8d-2a8e3d41ae3e,8,1,75.03,75.03,2.1972245773362196,4.331127999240345
103c99b5-8893-4932-a931-70846d24451d,135,13,10207.93,785.23,4.912654885736052,6.667249370489212
10834a6e-23ff-4572-a9af-76cf35231aba,55,10,5641.52,564.15,4.02535169073515,6.33709118263674
108d38df-7fbb-4547-b02f-3c58672afa69,2,13,12056.57,927.43,1.0986122886681096,6.833494987536113
10eb0c42-ff18-4c1f-8fb4-4d4dd1990406,216,10,6889.01,688.9,5.37989735354046,6.536546659552063
10fca95b-de2a-4692-bd3a-cee33c7c1211,495,2,821.79,410.9,6.206575926724928,6.020780601442035
10fd11ef-69ad-4117-894a-09f0db3e5585,204,4,2086.87,521.72,5.3230099791384085,6.25904594785276
10fe9f6a-8e7a-44fa-a0dd-e669e3f64fb6,113,2,1355.53,677.76,4.736198448394496,6.5202676041046255
11117b3d-dc67-466b-81bf-e2667237570a,48,4,3045.5,761.38,3.8918202981106265,6.636445119047319
112adea0-d445-44e5-8d43-772dba55502c,6,9,5065.58,562.84,1.9459101490553132,6.3347705233077605
1140af0b-3d73-406e-a3d4-ee8e6bd0f3c8,262,9,7806.259999999999,867.36,5.572154032177765,6.7666063752205545
11434a0d-99ec-48e5-8fb6-08b60864afc7,159,4,3509.48,877.37,5.075173815233827,6.778067917166575
1187d9bc-8ffd-4255-b3b1-32aedcda60e5,118,2,1619.08,809.54,4.77912349311153,6.697700692209645
118b30c7-090b-420e-84e5-703f61ca0b3c,60,4,3266.23,816.56,4.110873864173311,6.706324294573577
119b4283-9c79-45ca-a317-29a68e3e1eb9,2,10,5175.26,517.53,1.0986122886681096,6.25099788520506
11aa8133-a436-417d-895b-b6a45de68647,67,8,7134.46,891.81,4.219507705176107,6.7943737922811644
12535bb2-ad9a-4f46-a2a0-417cc8758973,59,11,11068.58,1006.23,4.0943445622221,6.91495926783064
12714846-2404-4717-a788-db1bb9aa74c9,179,3,1217.66,405.89,5.19295685089021,6.008542878642733
129b2bf4-9fd9-49de-8f93-d63544bd18fe,105,8,5408.82,676.1,4.663439094112067,6.517818972491599
12a75fa5-b65a-4494-a4b3-e77cbb306284,4,8,3810.56,476.32,1.6094379124341003,6.168187125501455
12c6daea-cbfe-49bf-8e55-6bf54ac539b5,18,5,3833.89,766.78,2.9444389791664403,6.643503233777313
12ccc2e7-a1c3-42f1-bb31-b91589d1c40f,176,10,10522.83,1052.28,5.176149732573829,6.959664383719566
12ef58fd-60f4-423c-9b82-ce90ad2f4e84,29,2,1264.3,632.15,3.4011973816621555,6.450707360896617
131fb703-7848-45c6-a077-78eaf5658d0b,52,10,13309.99,1331.0,3.970291913552122,7.194436851100335
132cf4f1-35ba-4051-bbf3-b54b652e4659,15,6,4364.33,727.39,2.772588722239781,6.59083661903873
13813ee1-355f-4ae5-9a62-78f40901d5f6,30,10,9497.45,949.75,3.4339872044851463,6.857251146808369
13d4437b-5c7d-410c-9be7-a12fb8769cfc,8,6,4855.42,809.24,2.1972245773362196,6.697330500075702
13fee32a-1261-4570-bda6-1190d196e549,18,11,12828.61,1166.24,2.9444389791664403,7.0623972666693495
140441f8-e56e-4d2d-ad36-d9d0fc395149,549,2,1135.62,567.81,6.309918278226516,6.3435464592065
1425608d-8f66-4030-ac22-aeaf96a54bc1,83,10,5518.35,551.84,4.430816798843313,6.315068628735826
142f9040-79cd-4250-af86-2cb01bc3e0de,286,2,2853.49,1426.74,5.659482215759621,7.2638480534931285
14416694-a656-4c10-b2e9-e35d079f34ca,113,2,2422.8,1211.4,4.736198448394496,7.100357145183648
145bcd2c-e2ea-45a9-accf-38248542daf8,12,8,7223.56,902.94,2.5649493574615367,6.806762986508063
146f3ef9-1cbf-4ca0-a1ac-ec2a85b9dbae,326,3,1280.8,426.93,5.7899601708972535,6.058959630803939
1472824a-43c8-4758-8439-4ca2aa5cecb5,78,1,715.74,715.74,4.3694478524670215,6.574713152800089
14763a7c-75b8-473d-af63-03a2be6d596b,89,5,2171.91,434.38,4.499809670330265,6.0762192129727906
14b9b4dc-ccd2-4d29-8fae-bf53487c3b61,43,5,3256.79,651.36,3.784189633918261,6.480596556788717
14bc1097-854b-41ac-b3af-b898b4e3cc5e,38,9,5201.67,577.96,3.6635616461296463,6.361233390557873
15332608-c1c7-4668-883f-4204d029f0c9,109,12,11695.46,974.62,4.700480365792417,6.883073166336641
154333c9-b9aa-4194-b837-79a055829ebb,477,1,707.08,707.08,6.169610732491456,6.562557081660621
15493123-abba-4326-bdd0-0fa3aa244ca3,186,10,12027.92,1202.79,5.231108616854587,7.093230192051421
155e523f-01fd-4d76-8b21-bb8a6f0ee6ad,180,4,653.0,163.25,5.198497031265826,5.10138965736472
1582af36-da99-45e5-b4f1-eefc3783e94b,12,7,5259.9800000000005,751.43,2.5649493574615367,6.623307969040285
158361d9-0b61-4273-a2c5-e24e1074ee9d,186,4,1780.7,445.18,5.231108616854587,6.100722458044504
15a4a159-dfc8-41a1-abd7-7b9a977043b4,301,1,1358.35,1358.35,5.71042701737487,7.214761923303338
15a99392-09e5-49ad-949f-d00f3a753d1e,323,6,6819.76,1136.63,5.780743515792329,7.036702430009276
15b3af48-37a8-42ca-b6f4-7944c0652743,512,1,949.92,949.92,6.240275845170769,6.857429937030072
15b9713c-20a8-49ab-aca0-ad6b33254c6f,38,11,7738.22,703.47,3.6635616461296463,6.5574457470395595
15bb9b2d-0591-42ef-b5cf-331ed23439b4,100,9,7526.29,836.25,4.61512051684126,6.730122711674314
15c7a98b-b745-4d70-ac2d-c7c0b5e7f5e6,22,12,8342.93,695.24,3.1354942159291497,6.545694428481259
15d639d1-6e56-4d99-a70a-bb5dfd911eb1,219,4,2215.33,553.83,5.393627546352361,6.31866176051877
15ec2ac4-4d2e-4cc4-9033-0de72cbf13a8,290,1,107.79,107.79,5.673323267171493,4.689419418432991
160d721b-c3d4-45ac-a0e2-04cef5539025,88,11,12636.13,1148.74,4.48863636973214,7.047291108839265
16255272-5289-46b6-bf70-366b4a1b495d,75,9,7880.26,875.58,4.330733340286331,6.776027972301207
1688e4f4-2ed2-4c44-8fb1-bb97fa89ee4c,42,4,3349.34,837.34,3.7612001156935624,6.731423746120393
1689f0e3-2646-48f3-9596-41e63f9c4fad,21,2,685.71,342.86,3.091042453358316,5.840234597791701
16ba0be1-f18e-46fb-ae29-ed87c2282f42,89,11,11303.86,1027.62,4.499809670330265,6.935973377056121
16bfe5e1-0625-4e91-8a1d-b6928adcf04f,35,4,3340.22,835.06,3.58351893845611,6.728700380844263
16daf2a6-f62c-4e5f-9097-903698e297b7,481,4,4700.59,1175.15,6.1779441140506,7.07000167134504
16ed2ec6-767b-4b59-b9cd-513ea6a998c8,51,9,4066.34,451.82,3.9512437185814275,6.115494695524832
1737654c-7c24-4e77-ae5d-9a87917b6e87,198,8,8500.68,1062.58,5.293304824724492,6.969395855130389
173ab356-fbf9-4c06-bb71-4793de9e0100,22,4,2145.32,536.33,3.1354942159291497,6.286612430905277
1765f62c-32e3-44b7-9eeb-92f979de81e6,129,2,689.21,344.6,4.867534450455582,5.845282036929901
17be29f5-ada2-49a8-8681-222721d36b96,32,5,6743.22,1348.64,3.4965075614664802,7.207593169203931
17c9e4c0-aa95-4dac-a650-54a14cf7ac6e,185,14,11816.01,844.0,5.225746673713202,6.739336627357174
17d782a3-ed41-4dee-8bd3-41ce272b35ac,26,10,7099.96,710.0,3.295836866004329,6.566672429803241
182b65e1-a096-4e8d-9f1e-fda1d65e1a0f,118,10,8419.51,841.95,4.77912349311153,6.7369076442618105
1877f276-73a1-4114-9b2e-f60e93f656b3,68,5,4951.969999999999,990.39,4.23410650459726,6.899107998789586
1895f7d2-9faf-496d-9299-9e6bf78c988f,22,8,5729.89,716.24,3.1354942159291497,6.575410512624163
18a5d9e8-96ac-42c7-92f1-e8bc06a63c13,203,4,1968.6,492.15,5.318119993844216,6.200813387400003
18b2e0c4-1d31-416a-8390-15926d91c1eb,160,6,2950.96,491.83,5.081404364984463,6.20016428698978
18ded0ad-a3e2-45ed-81ea-3fc1eb2459c0,22,12,10920.36,910.03,3.1354942159291497,6.814575827562975
18f84c53-18c1-4357-a7e4-ccdf9abe6235,34,13,11193.05,861.0,3.5553480614894135,6.759255270663693
191c98a5-e3f4-4c98-ab76-661477c4ce5f,43,10,9493.3,949.33,3.784189633918261,6.856809292697197
1940dc59-909a-48a4-a47b-cedbd41927b9,176,1,104.46,104.46,5.176149732573829,4.658331734102323
1945f6d4-0b62-4078-b700-a4e1a568c8a0,28,12,6441.65,536.8,3.367295829986474,6.287486743834764
1990b004-c818-4d91-b96f-7bc5e60985bb,546,1,355.9,355.9,6.304448802421981,5.877455630496114
19b940c2-c9de-4b01-acbd-2bc30730e681,133,3,2767.15,922.38,4.897839799950911,6.82804085075234
19c0ef3d-eba7-4610-aadf-dc3d4edd8af7,32,11,6203.28,563.93,3.4965075614664802,6.336701829665659
19d10579-ab2d-4944-a2cf-55152938dee8,37,12,9473.41,789.45,3.6375861597263857,6.6726024035421965
19f5ce58-3819-4a77-82f9-8bea3db26bbf,0,2,1275.56,637.78,0.0,6.45956010714691
1a17165e-9293-4252-b4ad-021b28c7ba52,28,4,1261.39,315.35,3.367295829986474,5.756849195592894
1a411b77-d3cd-4761-8080-7570c49dbd99,309,12,15090.54,1257.54,5.736572297479192,7.1377075979399605
1a46de7b-0270-4a22-b494-7807631b8a7e,76,5,3248.54,649.71,4.343805421853684,6.478064074448011
1a5295e3-ade5-48cb-bb23-bc3c64960ae9,22,12,10856.18,904.68,3.1354942159291497,6.808686042769854
1a9c0069-23bd-4724-b72f-9dbfb8a03738,7,13,7067.43,543.65,2.0794415416798357,6.300143386528455
1aa3b03e-fc94-447e-a970-ddda2b51722a,317,6,5637.24,939.54,5.762051382780177,6.846454178405533
1aa6aae0-51a3-472b-b666-b05c4ea70e93,76,8,5338.21,667.28,4.343805421853684,6.504707247389577
1abda202-128c-495c-9424-a44b1ce33af7,54,9,9968.29,1107.59,4.007333185232471,7.010844216558948
1abea111-3d6e-443a-a119-bf913cf2af71,14,5,5079.27,1015.85,2.70805020110221,6.9244648925450845
1acb48a6-d5a3-4296-8051-d6590bd3a28e,224,3,2210.7200000000003,736.91,5.41610040220442,6.6038218659443055
1b166a24-3bc9-4eae-8d6a-5f5ea164843f,321,1,824.88,824.88,5.7745515455444085,6.716449484516678
1b3d1260-b54f-446b-98d2-8ebc1c57863c,47,9,7115.18,790.58,3.8712010109078907,6.6740309481237405
1b4b5c1b-1b1d-4415-93f7-ef7c669ca841,151,8,6139.42,767.43,5.0238805208462765,6.644349472297815
1b53b259-3ac4-42d9-a2aa-753ec36552ca,628,3,876.27,292.09,6.444131256700441,5.680479729086366
1b54cb12-7ba1-4f8f-9531-b8c56f389316,190,2,1600.35,800.18,5.25227342804663,6.6860856409239275
