clientid,recency,frequency,monetaryvalue,avgtransactionvalue
03768312-d326-4577-a0dd-0774dad6b718,192,3,3077.25,1025.75
03940843-01ce-4cac-a7f7-f56909fbe7e8,3,7,3655.04,522.15
03a144b1-0af9-438d-9b88-72ff77ae257b,42,12,8634.14,719.51
03f4141d-22ec-42c1-9d10-b36d1cef75b2,47,13,8455.85,650.45
040a29e6-a48d-487c-b872-b89da9c5d6e9,267,1,334.71,334.71
041db95d-9b43-4c8b-babc-da9fba35712e,338,10,6830.54,683.05
044b04c8-41dd-4db9-974e-2646a8fc096d,66,3,1995.12,665.04
04507997-5968-4525-bd22-fc3a7a78d1db,4,7,3731.65,533.09
046eaadb-ca28-401e-8a7c-e8a5edb613f3,58,3,4458.07,1486.02
04801009-ecad-43fe-a85d-6b3963ada739,77,10,6045.01,604.5
048b5a86-42b1-4d4c-ac73-eac12660ca71,297,1,260.04,260.04
04d1093f-b1e0-4e4f-b8ee-c30c16bcb0d9,140,6,3760.97,626.83
050950c5-c502-4713-86c9-f51953066997,93,9,6252.03,694.67
0516ee71-aebe-47b0-8e05-5860b20cfc91,331,1,1989.8,1989.8
052175a2-e7bd-4bee-8158-41776aa5ae11,7,12,7339.88,611.66
052a5dbb-8db8-49cf-80a9-97ef6e5d17cf,21,10,7275.53,727.55
053021b8-df8b-4eef-bc18-e5e78402f1a1,127,6,4873.48,812.25
0551a9cc-46f6-406b-a572-f1f033670aec,24,11,12158.65,1105.33
05556c3f-ee89-463a-8c10-4d3e165f3f47,18,6,5136.83,856.14
05633b45-c77e-4da6-985d-990da9e0ef14,368,2,711.6600000000001,355.83
05b3ab30-554a-4d9d-9199-9383b3afa038,1,13,7964.04,612.62
05c39379-0ae8-4eac-95a3-b77395d3649a,140,7,6705.85,957.98
05d87886-8ce8-432f-b35a-af4f5cc8ba49,534,1,581.38,581.38
05eb7f4b-146f-4e0c-a364-feed9c2f9cdf,54,7,4990.3,712.9
0632c4e8-e17d-47cc-a5d2-47553678366f,11,7,6392.22,913.17
06523735-f7bf-4ba4-8db8-35b1a4247a47,55,9,7344.72,816.08
06587aa3-88c0-4f6d-baa6-a27e2df9fcb9,8,9,6296.889999999999,699.65
06613d47-9359-45e2-943c-70c6bccc934f,98,9,6610.38,734.49
067d6fa7-a89b-47de-abbe-3382b9fb7153,203,4,869.75,217.44
067e5abf-f019-4929-afd4-53e16c7cfcda,200,7,4390.9400000000005,627.28
06b6c259-7a6f-468b-9b2f-bd15aa20674f,17,9,7948.95,883.22
06bd7791-e8b4-41ce-9574-9a2c575d77fd,537,1,655.9,655.9
06ca9107-8ef7-42f9-aa6d-5a8b45f42998,9,5,5198.139999999999,1039.63
06e4f8c0-e4f8-469e-878f-cba8e779de5c,61,4,2103.4900000000002,525.87
071f0b7a-bf30-4109-9e7a-cdfe36708255,81,7,4931.6,704.51
073c9d1a-61d9-47d2-920b-2c0ed36924bf,50,11,7245.89,658.72
075484c7-946b-4324-bec1-0ce8a34dda49,27,11,8839.03,803.55
07697ff2-cdb9-4f18-95af-39788eb11d7d,66,8,8979.36,1122.42
076b9b95-5d16-421a-a334-e7226bc813f2,17,11,9391.109999999999,853.74
07741dc2-aba8-4aae-9569-9593fc0d35b3,74,8,5512.62,689.08
077e8b54-6994-426e-a588-8307015208cb,329,5,3276.48,655.3
07858e54-b8fd-4d29-bd51-4fbbc7adf8a1,22,9,7688.27,854.25
0785fdb3-685a-451e-bcc3-47fa36c2d5ec,90,4,4525.0199999999995,1131.25
07a9d616-3d89-4bd5-a78e-e2503fb8c61c,116,5,4570.58,914.12
07cbadbd-39b5-48e1-9c8f-262fb5fdeb3d,12,14,16381.710000000001,1170.12
07d195e3-551b-45e5-9133-102cae63fee9,348,1,1190.65,1190.65
07dec270-416a-473a-9192-13fe5beba16c,105,5,3615.0099999999998,723.0
07e26869-01cc-4ea4-90b8-9767f7305b1f,447,2,274.65999999999997,137.33
08019425-3efb-4bbb-9bf7-726979ceea6e,48,11,7996.45,726.95
082c429e-5659-4de8-8ba4-3de22ac8c73b,21,9,6717.360000000001,746.37
082c6f3f-b4c4-4676-9f2f-d5ee6b490633,116,5,2731.1000000000004,546.22
08600e34-2130-44d2-87e2-cb9f77366e2b,37,2,603.96,301.98
086be25c-1b19-433b-80a1-c8fef6791ad5,33,4,2260.38,565.1
0873197d-edb3-41bd-9305-eb63003170ee,63,3,3138.13,1046.04
0895adc5-9086-4465-82df-77ea01feedd7,92,10,7795.41,779.54
08c1be59-a3e5-461c-b8ef-51787c2a37bf,57,7,6136.01,876.57
08c1fd53-7655-49af-8d72-bfdabf5433e5,62,11,7230.6900000000005,657.34
08f1d631-6ea5-4e56-bb29-a9c311a4aab0,5,6,2266.35,377.72
09146ce9-d868-4188-a7af-27eeae485fbd,197,3,3327.86,1109.29
092a878c-e765-44b4-bcdd-7743cc7ef92e,229,12,8385.85,698.82
09557980-c2c4-498f-aeb4-0c15a66723d6,109,13,11580.91,890.84
0967f369-023c-456e-8178-6606c631414c,62,11,5935.13,539.56
0978ed64-392a-4107-86ab-559234909f67,257,3,3342.6099999999997,1114.2
0981a8d7-514e-42ad-b588-a249a8856152,41,5,5129.21,1025.84
0991c0bd-a665-4ffa-9450-6ccef0d1aef4,0,8,4124.82,515.6
09affffc-c663-4ac6-b78f-f1ba1419bbfd,703,1,159.6,159.6
09e8f606-76c2-482a-8468-499c258683af,34,8,4964.0,620.5
09e99414-3f3f-43ca-96a7-05a689a1747c,55,10,6787.51,678.75
0a380850-4108-4809-bef5-74ae90d9b560,134,1,749.34,749.34
0a53200b-1579-441a-b151-54356c7c915b,4,15,9419.26,627.95
0a8b42fe-c37e-478b-aec0-3da31a8aba5c,8,1,381.28,381.28
0ab8f5cb-dc97-489f-9382-770b14543b2e,129,5,4154.92,830.98
0ad179a4-5ba8-4ac2-babb-a38f13ef5fd5,133,6,3095.18,515.86
0ae1e47e-da3c-4033-8513-d532fe8811ab,4,10,6537.42,653.74
0ae86323-6964-4563-b0cb-bbacd547e145,215,3,2184.18,728.06
0aef1c57-c1ef-415b-85fa-418cdb85b65c,68,10,9461.49,946.15
0b031ec3-cef4-4170-a264-025b5f812dea,90,8,8195.0,1024.38
0b0db683-765a-4c8b-8b4d-33acc2ad53b9,19,8,6611.48,826.44
0b17e0fc-202d-497d-b32e-279c7d210bbc,238,8,4211.18,526.4
0b30287a-90dc-4bc9-84fd-9e0756d4e4e9,53,3,2273.02,757.67
0b370a40-7cd7-4529-bebf-46f362042d3d,88,12,7470.32,622.53
0b37ffe2-0bb1-40ec-ac8e-3bbf534106b1,168,5,2490.31,498.06
0b4d5b76-3d09-4f36-9887-a2dd3b77f7a8,100,4,1162.74,290.68
0b854276-d999-4eb3-9bb3-0ce79fd18b52,52,9,5128.61,569.85
0bd7c5c1-83e3-4bb2-9d1b-9060a12da71c,19,10,8357.62,835.76
0bed0610-0612-4dec-85f0-805399706e03,319,4,2980.69,745.17
0c19d4ec-261f-4ac5-bb33-282f1c5ccbf6,9,2,768.8699999999999,384.43
0c80982c-ba94-436b-b2e7-916fd23c678d,5,2,920.4000000000001,460.2
0c8ae06f-8ca1-45b6-887e-a6e4dca43be8,137,3,3397.44,1132.48
0cbc5ad9-b66f-4f00-8a12-ba4ade28ad0b,38,13,12257.31,942.87
0cbe2aa4-9a9f-41d4-8807-f95687466c40,271,3,3677.15,1225.72
0cdac57e-a998-4830-9a7c-758e7ff0c318,84,11,12544.07,1140.37
0cf2b6de-994e-447e-a519-1ab529d672d2,213,10,11281.24,1128.12
0cf4e152-2589-4664-ae0f-41b02a73efc3,66,9,7142.01,793.56
0d1fc803-c49d-4619-b82d-d959904f3462,40,13,11056.12,850.47
0d2dafbf-e89f-4310-a96c-2324b4379a59,138,8,7413.52,926.69
0d3351b2-18e5-4e6d-8893-6c1f07e00cd8,25,7,3328.22,475.46
0d452ac3-f31c-451a-9498-75ccc90d2e27,76,12,13159.56,1096.63
0d4c0d32-de63-4203-9eb9-988b8426710e,424,6,3746.52,624.42
0d76c222-cd89-4672-ae2e-01c50bf20164,272,4,3440.16,860.04
0d9c8a3b-c3ee-437d-bfe1-26b3ddc89022,0,9,6096.34,677.37
0daa33a8-35b1-4bd8-8159-c6bd592e41da,90,12,7155.13,596.26
0dad8ac5-299c-4c85-a3ec-cd1d3b7c1fcc,106,7,5717.4400000000005,816.78
0e0552b1-cdee-4b69-99a9-829ff9c3b120,18,9,8277.18,919.69
0e09e5e9-03a9-4ae1-aea0-f55ffdf659be,110,5,4527.35,905.47
0e0d9902-7165-4eb1-97d2-45716e022e53,68,6,1906.72,317.79
0e109fa9-273d-4b0e-9a90-92b04637866c,115,11,7530.25,684.57
0e399803-a23f-4a07-acd8-33f59d359162,312,2,2318.19,1159.1
0e5a62a4-0801-4e04-8752-ab1c5d7f0538,128,4,2489.7,622.42
0e5ab075-982f-43cd-93f0-68e7e406deed,11,5,2248.51,449.7
0e806d42-5a59-44a4-8c29-d88c147a2157,252,2,2547.9900000000002,1274.0
0e9259c3-ae38-4a7f-a711-8f01621f482a,17,9,9225.029999999999,1025.0
0ef99277-941d-4f98-8f2d-5807c6e7a314,10,11,7655.03,695.91
0f1f1c6f-e93c-477a-bd08-c4ecf43f411c,179,4,5860.51,1465.13
0f48f5c0-e754-4b7d-9c2a-c08e168f1d7f,24,10,7360.18,736.02
0f5ae3f9-af16-49be-bdb6-7351c84766c7,3,9,9648.13,1072.01
0f71de50-d49c-436e-841e-b084a2c79cf3,103,4,2244.55,561.14
0f853075-a5a4-41b5-a999-1a7b003ffc8c,25,13,11853.11,911.78
0f9c838f-78be-4249-a8ae-8d44a7fe3e3e,120,3,4794.12,1598.04
0f9e01d4-135b-441e-9579-a6bdaf529864,0,13,10387.46,799.04
0fa59206-94b6-416c-9195-8dcc9b0d5de6,61,1,573.75,573.75
1009c5a7-89fe-4a7c-9a2c-065ee0234ff2,41,2,2834.1,1417.05
1034eb7f-c617-4cb6-8b8d-2a8e3d41ae3e,8,1,75.03,75.03
103c99b5-8893-4932-a931-70846d24451d,135,13,10207.93,785.23
10834a6e-23ff-4572-a9af-76cf35231aba,55,10,5641.52,564.15
108d38df-7fbb-4547-b02f-3c58672afa69,2,13,12056.57,927.43
10eb0c42-ff18-4c1f-8fb4-4d4dd1990406,216,10,6889.01,688.9
10fca95b-de2a-4692-bd3a-cee33c7c1211,495,2,821.79,410.9
10fd11ef-69ad-4117-894a-09f0db3e5585,204,4,2086.87,521.72
10fe9f6a-8e7a-44fa-a0dd-e669e3f64fb6,113,2,1355.53,677.76
11117b3d-dc67-466b-81bf-e2667237570a,48,4,3045.5,761.38
112adea0-d445-44e5-8d43-772dba55502c,6,9,5065.58,562.84
1140af0b-3d73-406e-a3d4-ee8e6bd0f3c8,262,9,7806.259999999999,867.36
11434a0d-99ec-48e5-8fb6-08b60864afc7,159,4,3509.48,877.37
1187d9bc-8ffd-4255-b3b1-32aedcda60e5,118,2,1619.08,809.54
118b30c7-090b-420e-84e5-703f61ca0b3c,60,4,3266.23,816.56
119b4283-9c79-45ca-a317-29a68e3e1eb9,2,10,5175.26,517.53
11aa8133-a436-417d-895b-b6a45de68647,67,8,7134.46,891.81
12535bb2-ad9a-4f46-a2a0-417cc8758973,59,11,11068.58,1006.23
12714846-2404-4717-a788-db1bb9aa74c9,179,3,1217.6599999999999,405.89
129b2bf4-9fd9-49de-8f93-d63544bd18fe,105,8,5408.82,676.1
12a75fa5-b65a-4494-a4b3-e77cbb306284,4,8,3810.56,476.32
12c6daea-cbfe-49bf-8e55-6bf54ac539b5,18,5,3833.89,766.78
12ccc2e7-a1c3-42f1-bb31-b91589d1c40f,176,10,10522.83,1052.28
12ef58fd-60f4-423c-9b82-ce90ad2f4e84,29,2,1264.3,632.15
131fb703-7848-45c6-a077-78eaf5658d0b,52,10,13309.99,1331.0
132cf4f1-35ba-4051-bbf3-b54b652e4659,15,6,4364.33,727.39
13813ee1-355f-4ae5-9a62-78f40901d5f6,30,10,9497.45,949.75
13d4437b-5c7d-410c-9be7-a12fb8769cfc,8,6,4855.42,809.24
13fee32a-1261-4570-bda6-1190d196e549,18,11,12828.61,1166.24
140441f8-e56e-4d2d-ad36-d9d0fc395149,549,2,1135.62,567.81
1425608d-8f66-4030-ac22-aeaf96a54bc1,83,10,5518.35,551.84
142f9040-79cd-4250-af86-2cb01bc3e0de,286,2,2853.4900000000002,1426.74
14416694-a656-4c10-b2e9-e35d079f34ca,113,2,2422.8,1211.4
145bcd2c-e2ea-45a9-accf-38248542daf8,12,8,7223.56,902.94
146f3ef9-1cbf-4ca0-a1ac-ec2a85b9dbae,326,3,1280.8,426.93
1472824a-43c8-4758-8439-4ca2aa5cecb5,78,1,715.74,715.74
14763a7c-75b8-473d-af63-03a2be6d596b,89,5,2171.91,434.38
14b9b4dc-ccd2-4d29-8fae-bf53487c3b61,43,5,3256.79,651.36
14bc1097-854b-41ac-b3af-b898b4e3cc5e,38,9,5201.67,577.96
15332608-c1c7-4668-883f-4204d029f0c9,109,12,11695.460000000001,974.62
154333c9-b9aa-4194-b837-79a055829ebb,477,1,707.08,707.08
15493123-abba-4326-bdd0-0fa3aa244ca3,186,10,12027.92,1202.79
155e523f-01fd-4d76-8b21-bb8a6f0ee6ad,180,4,653.0,163.25
1582af36-da99-45e5-b4f1-eefc3783e94b,12,7,5259.9800000000005,751.43
158361d9-0b61-4273-a2c5-e24e1074ee9d,186,4,1780.7,445.18
15a4a159-dfc8-41a1-abd7-7b9a977043b4,301,1,1358.35,1358.35
15a99392-09e5-49ad-949f-d00f3a753d1e,323,6,6819.76,1136.63
15b3af48-37a8-42ca-b6f4-7944c0652743,512,1,949.92,949.92
15b9713c-20a8-49ab-aca0-ad6b33254c6f,38,11,7738.22,703.47
15bb9b2d-0591-42ef-b5cf-331ed23439b4,100,9,7526.29,836.25
15c7a98b-b745-4d70-ac2d-c7c0b5e7f5e6,22,12,8342.93,695.24
15d639d1-6e56-4d99-a70a-bb5dfd911eb1,219,4,2215.33,553.83
15ec2ac4-4d2e-4cc4-9033-0de72cbf13a8,290,1,107.79,107.79
160d721b-c3d4-45ac-a0e2-04cef5539025,88,11,12636.130000000001,1148.74
16255272-5289-46b6-bf70-366b4a1b495d,75,9,7880.26,875.58
1688e4f4-2ed2-4c44-8fb1-bb97fa89ee4c,42,4,3349.34,837.34
1689f0e3-2646-48f3-9596-41e63f9c4fad,21,2,685.71,342.86
16ba0be1-f18e-46fb-ae29-ed87c2282f42,89,11,11303.86,1027.62
16bfe5e1-0625-4e91-8a1d-b6928adcf04f,35,4,3340.22,835.06
16daf2a6-f62c-4e5f-9097-903698e297b7,481,4,4700.59,1175.15
16ed2ec6-767b-4b59-b9cd-513ea6a998c8,51,9,4066.34,451.82
1737654c-7c24-4e77-ae5d-9a87917b6e87,198,8,8500.68,1062.58
173ab356-fbf9-4c06-bb71-4793de9e0100,22,4,2145.32,536.33
1765f62c-32e3-44b7-9eeb-92f979de81e6,129,2,689.21,344.6
17be29f5-ada2-49a8-8681-222721d36b96,32,5,6743.22,1348.64
17c9e4c0-aa95-4dac-a650-54a14cf7ac6e,185,14,11816.01,844.0
17d782a3-ed41-4dee-8bd3-41ce272b35ac,26,10,7099.96,710.0
182b65e1-a096-4e8d-9f1e-fda1d65e1a0f,118,10,8419.51,841.95
1877f276-73a1-4114-9b2e-f60e93f656b3,68,5,4951.969999999999,990.39
1895f7d2-9faf-496d-9299-9e6bf78c988f,22,8,5729.89,716.24
18a5d9e8-96ac-42c7-92f1-e8bc06a63c13,203,4,1968.6,492.15
18b2e0c4-1d31-416a-8390-15926d91c1eb,160,6,2950.96,491.83
18ded0ad-a3e2-45ed-81ea-3fc1eb2459c0,22,12,10920.36,910.03
18f84c53-18c1-4357-a7e4-ccdf9abe6235,34,13,11193.05,861.0
191c98a5-e3f4-4c98-ab76-661477c4ce5f,43,10,9493.3,949.33
1940dc59-909a-48a4-a47b-cedbd41927b9,176,1,104.46,104.46
1945f6d4-0b62-4078-b700-a4e1a568c8a0,28,12,6441.65,536.8
1990b004-c818-4d91-b96f-7bc5e60985bb,546,1,355.9,355.9
19b940c2-c9de-4b01-acbd-2bc30730e681,133,3,2767.15,922.38
19c0ef3d-eba7-4610-aadf-dc3d4edd8af7,32,11,6203.28,563.93
19d10579-ab2d-4944-a2cf-55152938dee8,37,12,9473.41,789.45
19f5ce58-3819-4a77-82f9-8bea3db26bbf,0,2,1275.56,637.78
1a17165e-9293-4252-b4ad-021b28c7ba52,28,4,1261.3899999999999,315.35
1a411b77-d3cd-4761-8080-7570c49dbd99,309,12,15090.54,1257.54
1a46de7b-0270-4a22-b494-7807631b8a7e,76,5,3248.54,649.71
1a5295e3-ade5-48cb-bb23-bc3c64960ae9,22,12,10856.18,904.68
1a9c0069-23bd-4724-b72f-9dbfb8a03738,7,13,7067.43,543.65
1aa3b03e-fc94-447e-a970-ddda2b51722a,317,6,5637.24,939.54
1aa6aae0-51a3-472b-b666-b05c4ea70e93,76,8,5338.21,667.28
1abda202-128c-495c-9424-a44b1ce33af7,54,9,9968.289999999999,1107.59
1abea111-3d6e-443a-a119-bf913cf2af71,14,5,5079.27,1015.85
1acb48a6-d5a3-4296-8051-d6590bd3a28e,224,3,2210.7200000000003,736.91
1b166a24-3bc9-4eae-8d6a-5f5ea164843f,321,1,824.88,824.88
1b3d1260-b54f-446b-98d2-8ebc1c57863c,47,9,7115.18,790.58
1b4b5c1b-1b1d-4415-93f7-ef7c669ca841,151,8,6139.42,767.43
1b53b259-3ac4-42d9-a2aa-753ec36552ca,628,3,876.27,292.09
1b54cb12-7ba1-4f8f-9531-b8c56f389316,190,2,1600.35,800.18
1b7790f6-585d-4b4d-9744-9d68eaf117fe,181,9,10006.51,1111.83
1b86385c-4c78-4579-8ea6-e966e698a65d,207,2,2057.0,1028.5
1bbb1d8c-d4b0-416f-92aa-4084956f1b6f,73,10,7825.2,782.52
1bd09c56-913b-466e-aea8-a1e0d6c04956,56,9,7161.46,795.72
1bd9d338-d062-4548-a58f-a054dbd2de4e,342,5,3115.87,623.17
1bda0a82-548f-4491-a9c5-e1c27bc56f52,13,10,7689.62,768.96
1c044b77-1699-4386-8b54-3941f7a2a17d,144,1,359.09,359.09
1c1fbda3-d8ba-4c03-b104-703b4f0e3d74,133,6,2999.67,499.94
1c21a165-3eda-44ef-b642-062e788797b4,32,3,3455.86,1151.95
1c3dc1c9-9f37-47e5-80bd-fa4852501e1a,18,11,4740.67,430.97
1c6ef172-8898-4f1d-854e-1b2bcc44270c,202,2,2266.06,1133.03
1caf1f34-9d6f-4b3b-a1e9-c98ccfed9f00,170,4,1792.74,448.18
1cb38de3-e25e-426d-87bd-d216c4338516,209,4,2516.99,629.25
1cbf079b-6a03-4c84-b03e-055046951f55,46,7,7839.41,1119.92
1cf20b6e-8c39-427a-b1d5-40be25970dba,44,4,2633.14,658.28
1cf7710a-bafd-4a89-90e3-a0a54cdcbeaf,99,9,8673.92,963.77
1d0fa339-a3a5-4f62-8bcb-c7b1df1ae97d,39,8,5640.66,705.08
1d302ea7-a801-4973-ac42-fc8098332449,290,2,1013.9300000000001,506.96
1d3b5659-de9d-4f84-bcdd-c1fdbaf91bc6,18,5,2960.26,592.05
1d434963-6f9b-4d7b-94ac-ad6eb1366d67,565,2,1960.4499999999998,980.22
1d5957f6-19f7-4f7d-b695-8742f325e5aa,19,14,9062.25,647.3
1da3982c-9239-47d8-a28b-8b7fbc3ba2c0,231,2,2570.25,1285.12
1daff900-f83f-46d0-bd76-0ded8fd84828,178,3,1800.53,600.18
1ddccb43-21d5-4260-b58f-a55b52b50732,44,13,11217.92,862.92
1df8c245-269a-4f3f-ac8d-390e08a11f34,69,4,3671.84,917.96
1dfb2969-fc5d-468b-888d-2070015c61ab,16,7,5940.12,848.59
1e148e0b-84ae-4e16-9d3a-a0cbcf08f154,20,12,8266.14,688.84
1e27e4a3-5753-44e7-9076-acb12658de62,89,4,1768.19,442.05
1e46656f-e2e9-4cba-9a15-520f223633bd,27,14,10659.78,761.41
1e467e52-1cd6-40e4-851a-b708e7bc26b6,251,3,1570.2399999999998,523.41
1e4cef54-ddee-4d78-8727-290749f90c13,22,14,11015.31,786.81
1e646dbf-dd5c-4073-bd9a-35f7127f2bce,186,7,6545.71,935.1
1e6c855c-f95b-49d9-acd5-8306b57ab23a,48,5,5406.9400000000005,1081.39
1e794016-9ebb-46fd-89f4-cd08db0389d2,116,6,6562.93,1093.82
1e79d3f1-945d-4986-9276-682bd670f980,34,12,9086.49,757.21
1eb79178-9212-4cb7-9f4d-34bef6d13072,145,6,5782.849999999999,963.81
1ebe0e30-255c-4f25-bf4e-dadbd9c2778a,573,1,2358.6,2358.6
1ee9b9e2-75bb-4553-ab76-3bf6bf480611,152,3,1744.9099999999999,581.64
1eeb90bf-e3ed-412f-a695-86f800938638,171,5,5395.84,1079.17
1f30656d-149e-4459-8e4e-3edebb83408c,33,13,9590.19,737.71
1f5aa09c-036b-40f1-8364-cdda4aeeba47,54,8,7056.02,882.0
1f7cb23f-2044-4b3f-bff3-68b1e7da3be7,23,9,6944.68,771.63
1f8669af-cc6b-45af-a1c4-1b8e66566ae6,14,9,7207.81,800.87
1f9afb70-af57-454a-a0b4-5d55759648a0,97,8,6636.1,829.51
1fb7f32f-4c96-44e4-8c51-b33f80f4514d,113,1,2359.7,2359.7
1fcda295-9763-4dd0-95c6-edc4502f5c51,141,2,669.71,334.86
1fd5fd9f-9acc-4b64-a2fb-f72261564380,24,1,290.14,290.14
1fde1dac-cb6c-4aec-88b2-5f63f3bfb345,150,4,2644.54,661.14
1fe25843-214c-4d76-b1b5-ff7daa00e41a,33,8,6105.17,763.15
1fe8615e-ea00-4d45-85e8-3eb28c0b0cd0,63,8,6262.72,782.84
1ffda7fa-6ead-4d9a-8806-44a24a0ce3c1,45,9,7815.9,868.43
2002a9c4-68a5-4b68-a0fd-eac52ee16809,48,10,6280.93,628.09
20046a28-4fb3-4ed9-b60d-8b2856ba4626,73,6,4352.42,725.4
201f0108-2ab5-46be-8030-47d9958e85ae,89,9,4426.93,491.88
20415804-d66f-46d3-aa2d-3593c94c3f12,529,1,465.64,465.64
2050edf1-d7b0-4405-9415-ea7d35d9461d,78,8,5309.25,663.66
2052d081-b785-426a-9a36-86caa9cb4b25,71,6,5007.05,834.51
205484c3-761d-4314-ae0c-7a6eed05a0e5,23,7,7209.24,1029.89
20639591-bccd-4366-95cc-66b70778c237,35,5,2826.1400000000003,565.23
207610d4-09af-4583-aae2-23cdbf2b57be,84,8,5746.19,718.27
207ded4a-1cf3-4eb0-a769-f47aeb08229a,35,3,455.45000000000005,151.82
209a64a7-e2d4-4feb-a2eb-cccb4ec516fb,121,7,4545.7,649.39
209c6440-2a3a-4ab8-962b-664507a6fcd3,12,10,8090.79,809.08
20c494c3-0944-4dae-9622-b46073f39cd9,124,4,2640.27,660.07
20dabbe2-dc2a-43fc-b9ba-e3355a38808d,5,9,5614.33,623.81
20e85377-cf30-40fc-b821-750588ddab85,57,5,4733.13,946.63
20f4c90a-02b0-47a1-bfbb-9bd3774189fe,193,9,4803.88,533.76
210e3511-16ae-4d22-b318-d256b5bbd40a,428,2,2799.45,1399.72
211214c8-2647-4688-903c-128d4b84af5f,8,12,4964.67,413.72
211765d3-cf50-44c9-bff1-73821aa04837,5,12,12795.39,1066.28
212353e5-2e63-4175-9810-01ec1b6ffe30,37,11,7639.84,694.53
2128d8c5-054c-4ef2-8895-0e846f212d98,24,10,7187.5,718.75
212d56dc-3627-43b7-953c-dd390ed9d3c4,216,2,2197.07,1098.54
2154390e-d86e-4a28-8a43-389cfb9c0d27,21,11,10230.92,930.08
21568f8c-fb18-47bc-af50-238ffcf35e65,374,2,1663.73,831.86
217bf472-c4f1-40d9-bef8-ed0492fcb528,124,4,2399.88,599.97
217dd9db-fd22-4063-b4fd-70f909ca882e,87,8,5939.3099999999995,742.41
21b81c7f-e169-486c-8097-d5cfa41184b9,193,9,5733.53,637.06
21c96351-98e0-4d0c-b406-5d52763ca7f5,50,10,10093.8,1009.38
21db0a3f-dbe4-4e66-bdb6-e4543ff1b35b,63,11,8970.0,815.45
22153c23-b80d-4aa9-9b6d-07ba8bb3d1c1,118,11,9401.11,854.65
221a0fb1-4b33-4a65-89ea-2b632a9ea449,216,1,273.05,273.05
22285e57-4d6b-467e-9c85-f3bcbac0aafd,62,7,4734.74,676.39
222d386a-a7fd-4b44-b0e2-a26aea85eda4,240,6,5445.530000000001,907.59
222e66a3-2bc4-4c29-bbbd-465eb74841ac,259,4,2236.17,559.04
2241a7a9-2162-4267-a94e-a7a4477d343a,5,8,6981.07,872.63
2242b560-f330-4827-a0ca-2fdb27ae4fe2,712,1,699.02,699.02
2256f0fa-3200-4495-a679-62a174a0d0ec,165,8,5052.42,631.55
2288af9c-5ad7-4404-a655-c66ce4017d9d,148,9,5875.469999999999,652.83
22e31b4c-9c7d-438b-a7b2-a37c742a2fc2,42,4,1904.8000000000002,476.2
23170953-033d-48b7-8551-77fbe50ad154,176,6,2883.9700000000003,480.66
2317e7a1-1185-48f3-959f-0ecc98e7c265,65,12,11696.61,974.72
2320ebe8-2c0d-433b-b011-276408345ec7,366,2,1600.9699999999998,800.48
232704bd-e372-4b81-9baa-b33d4cb88404,13,13,9198.34,707.56
232d837e-88a6-4309-9902-a65ea3bfb498,256,4,2952.71,738.18
2350340f-b073-419c-a632-81503f402242,29,8,6844.14,855.52
236427d1-a7fa-4cf0-9f4c-af0798a4b8a2,85,9,8444.84,938.32
