brand,Category,price/value,reviewsCount,stars,Product
Lepro,Home,13.72,1772.0,4.6,"Lepro Bayonet Light Bulbs 100W Equivalent, Cool White 6500K, 13W 1520lm Super Bright Daylight B22 LED Bulbs, BC GLS Energy Saving, Non-dimmable, Pack of 6"
Yexati,Home,17.99,951.0,4.4,"Yexati GU10 LED Bulbs,550 Lumens,7w(Equivalent to 50w Halogen LED),Cool White 6000K,Non Dimmable,Pack of 10"
GY,Home,18.99,247.0,4.6,"GY G9 LED Bulbs,3.2W Cool White 6500K Energy Saving Light Bulbs，Equivalent to 50W Halogen，520 Lumen No Flicker, Not Dimmable for Home Lighting Decor,10 Pack"
FLSNT,Home,16.99,296.0,4.3,"FLSNT E27 Screw Bulb 200W Equivalent, 3000LM Ultra Bright LED Light Bulb, 18W A70 LED Edison Screw Bulb, 3000K Warm White, Non-Dimmable, Pack of 2"
SCNNC,Home,7.39,1957.0,4.5,"G9 Halogen Light Bulbs 230V 28W Dimmable, 370LM Warm White 2700K, 360° Beam Angle, No Flicker, G9 Halogen Capsule Bulbs for Cooking Lighting, Wax Lamp, RV Light, Chandelier and Ceiling Lights, 10 Pack"
LOHAS-LED,Home,21.99,3220.0,4.5,"LOHAS B22 LED Bulbs 150W Equivalent, 17W LED Bayonet Light Bulb, Cool White 6000K, Super Bright 1600Lm, Non-Dimmable, Energy Saving Light Bulbs, 4 Pack"
Rpanle,Home,3.99,1857.0,4.4,"Rpanle G4 Halogen Light Bulbs 20W 12V, 10 Pack Clear Capsule 2 Pin Lamp Bulb Halogen Pin Base Warm White Dimmable [Energy Class G]"
chokola,Grocery,9.99,303.0,4.1,Chokola Chocolate Gift Pack (Sweet Love)
Simusi,Home,11.99,1324.0,4.5,"Simusi MR16 Halogen Light Bulbs, (6 Pack) 12V 50W Gu5.3 Spotlight Bulb Dimmable for Ceiling Light, 2 Pin Halogen Spotlight Bulbs 2700K Warm White"
PHILIPS,Home,8.99,2145.0,4.6,"PHILIPS LED A60 Light Bulb 3 Pack [Warm White 2700K - B22 Bayonet Cap] 60W, Non Dimmable. for Home Lighting, 929001387493"
Govee,Home,18.99,2242.0,4.6,"Govee RGBWW Smart Bulb, WiFi Alexa Light Bulbs B22, 54 Dynamic Scenes, 800LM, Music Sync, DIY 16 Million Color, Work with Alexa & Google Assistant, 2 Packs"
Tailcas,Home,8.99,3155.0,4.6,"G9 Led Light Bulbs, 5W Warm White , Equivalent to 40W-50W Halogen, 500lm 3000 Kelvin 220-240V No Flicker Non-Dimmable Energy Saving , for Home Lighting Decor 6-Pack"
OSRAM,Home,9.5,2263.0,4.5,"Osram LED Base Classic A bulb, bulb shape with E27 socket, not dimmable, Replaces 6W = 60 Watt, filament style clear, cool white - 4000 Kelvin, 3-pack [Energy Class A ++]"
AUZOSL,Home,6.79,189.0,4.4,AUZOSL G9 Halogen Bulbs 40W - Bright G9 Light Bulbs (Pack of 12) - Energy Efficient Replacement for G9 40W Bulb - Long-Lasting Lighting Solution
Lepro,Home,8.49,3812.0,4.5,"Lepro E14 LED Light Bulb, Small Screw Light Bulb, 4.9W 470lm, 40W Equivalent SES E14 Bulb, Warm White 2700K E14 Golf Ball Bulb, Energy Saving LED P45 Bulb, 220-240V, Non-Dimmable, Pack of 6"
Energizer,Home,5.35,4055.0,4.6,Energizer GU10 4.9W 50W Replacement LED Bulb 4 Pack (Daylight Non Dimmable)
OSRAM,Home,7.49,11772.0,4.6,"OSRAM LED BASE CLASSIC A / LED lamp, classic bulb shape, with bayonet base: B22d, 8.5 W, 220…240 V, 60 W replacement, frosted, 2700 K, White, 3pack"
Vanke,Home,9.99,413.0,4.6,"Vanke E27 Screw Bulb, Warm White 2700K Yellow Light, 60 Watts Equivalent, 9W ES LED Bulbs, Large Screw in Light Bulb, 806 Lumen, Non-Dimmable, Pack of 6"
PHILIPS,Home,6.99,1043.0,4.5,"PHILIPS LED Classic Spot Light Bulb 3 Pack [Cool White 4000K - GU10] 50W, Non Dimmable. for Home Indoor Lighting"
PHILIPS,Home,18.0,5356.0,4.5,"PHILIPS WarmGlow 6 Pack Dimmable [GU10 Spot] LED Light Bulbs, 3.8 W - 50W Equivalent, 2700-2200K. for Relaxed Home Lighting"
EvaStary,Home,7.64,300.0,4.5,"EvaStary E14 LED Light Bulb, 5W Small Screw Light Bulb 40W Equivalent, Warm White 3000K, SES E14 G45 Golf Ball Bulb, Non-Dimmable, Pack of 6"
Simusi,Home,8.99,2500.0,4.5,"Simusi G9 Halogen Bulbs, G9 28W Light Bulbs, G9 Dimmable Capsule Bulbs, Warm White 230V 2700K, Non-Flicker,12 Pack"
DGO,Home,22.99,339.0,4.2,"DGO E27 LED Bulb, Dimmable Energy Saving Vintage Light Bulbs, ST64 Screw Edison Light Bulbs 9W (Equivalent to 100W), Warm White, Amber Glass, 6 Pack"
Lepro,Home,16.99,2719.0,4.6,"Lepro E27 Screw Bulbs 100W Equivalent, Cool White 6500K, 13W 1520lm Super Bright E27 LED Bulbs, GLS Energy Saving Edison Lightbulb, Non-dimmable, Pack of 6"
LVWIT,Home,16.99,1331.0,4.6,"Daylight B22 Bayonet LED Bulb, LVWIT 8W A60 Cool White Bayonet Light Bulb 60W Equivalent,806Lm,6500K Super Bright B22 LED Bulbs,Non-Dimmable (9 PCS)"
HYDONG,Home,8.49,13327.0,4.6,"HYDONG Colour Changing Bulb B22 10W Dimmable, RGBW LED Light Bulbs Mood Lighting with 21key Remote Control,Dual Memory Function,12 Color Choices for Home Dec"
Philips Hue,Home,13.98,2530.0,4.4,"Philips Hue White LED Smart Light Bulb 1 Pack [B22 Bayonet Cap] Warm White - for Indoor Home Lighting, Compatible with Amazon Alexa Devices"
WITSUN,Home,15.99,643.0,4.3,"GU10 50W Halogen Bulbs, Pack of 8 GU10 Halogen Spotlights, 220-240V, 2800K Warm White, 700 Lumens, 40° Beam Angle, Dimmable GU10 Halogen Lights Bulbs"
MLOQI,Home,13.59,233.0,4.5,"MLOQI 2 Pack E27 Screw Bulb Vintage Edison LED Light Bulbs, 4W,2300K, E27 Squirrel Cage Shaped LED Dimmable Bulbs Antique Style Warm Glow"
Amazon Basics,Home,14.62,11968.0,4.5,"Amazon Basics LED E14 Small Edison Screw Golf Ball P45 Bulb, 5.5W (Equivalent to 40W), Warm White, Non Dimmable - Pack of 6"
Linkind,Home,16.99,1491.0,4.6,"Linkind E14 LED Candle Bulb, 7W Daylight Small Edison Screw Candle Light Bulbs, 60W Equivalent 840 Lumens, 5000K, C35/B35 SES Bulbs, Non-Dimmable, 6 Pack"
PHILIPS,Home,9.8,27.0,4.8,"PHILIPS 2 x 25w SES E14V Small Screw Cap Oven Light Bulbs dimmable, Himalayan Salt Lamps, Lava Lamps, Sewing Machine, Fridges & Other Appliances"
VIIONX,Home,6.95,8.0,4.7,"VIIONX Screw Bulb – Non-Dimmable, 8.5W Equivalent to 60W, Warm White 2700K LED Bulbs, 806 Lumens Edison LED Light Bulb, Energy-Saving E27 Bulbs for Lamps, [Energy Class F] (3)"
Flaspar,Home,8.99,242.0,4.4,"Flaspar E14 LED Light Bulb 60W Equivalent, 7W Small Edison Screw Golf Ball Bulb Warm White 3000K, 600LM SES E14 LED Bulbs, Non-dimmable, Energy Saving Bulbs, 4 Pack"
EXTRASTAR,Home,12.99,65.0,4.3,"EXTRASTAR 6W MR16 LED Bulbs, 12 Volt, Equivalent to 44W Halogen Spotlight, 540 Lumen, 6500K Cool White Daylight Light Bulb, Non-dimmable, Pack of 6"
OSRAM,Home,9.75,849.0,4.4,OSRAM LED Base Classic A / LED-lamp in bulb shape with B22d-base / not dimmable / for 60 Watt / filament style clear / warm white - 2700 Kelvin / pack of 3
LumeGlow,Home,6.49,4.0,4.8,"LumeGlow LED E27 Edison Screw Light Bulbs, 9w (60w Equivalent), Classic Shape, 5-Year Warranty, Long Life (50,000 Burning Hours). (Neutral White (6000k) (Pack of 3)"
Lepro,Home,16.99,1631.0,4.6,"Lepro Bayonet Light Bulbs 100W Equivalent, Warm White 2700K, 13W 1520lm Super Bright LED Bayonet Bulb, B22 LED Bulbs, BC GLS Energy Saving Lightbulbs Bayonet, Non-dimmable, Pack of 6"
tuare,Home,9.99,1008.0,4.5,"G9 LED Bulb, Cool White 6000K G9 LED Bulbs, 5W 560LM G9 Capsule Bulb LED, Non Dimmable Energy Saving Light Bulb for Chandelier, Ceiling Lights, Wall Light, Crystal Lamp, Ceiling Fan Light - 6 Packs"
LOHAS-LED,Home,8.99,5973.0,4.5,"LOHAS-LED Bayonet Light Bulb 60W Equivalent, B22 LED Bulb, Cool White 6000K, 9W Energy Saving Light Bulb, 820 Lumens, Non-Dimmable, 3 Pack"
FanciBuy,Home,11.09,912.0,4.2,"10 Pack E14 Small Screw Light Bulb, Dimmable Candle Bulbs 40W, 2700K Warm White, 230V"
BROTOU,Home,9.99,698.0,4.4,"BROTOU [6 Pack Dimmable R7s Halogen Bulb 118mm, 300W 230V 4480LM 2800K Warm White J-Type Linear Light Bulb for Floodlight, Security Light, Landscape Light and Work Light (300W)"
Aigostar,Home,10.99,1595.0,4.5,"Aigostar E14 Small Edison Screw Golf Ball Bulb, G45 SES LED Light Bulbs 7W(49W Equivalent) 620LM, 6500K Cool White E14 LED Bulb, 5 Pack"
YOUDIAN,Home,8.39,1526.0,4.6,"YOUDIAN LED Edison Bulb, Vintage Light Bulb,4W E27 2700K ST64 LED Bulbs, Led Filament Bulbs, Antique Style Retro Amber Glass Screw Lamp 220V (2 Packs)"
Cadbury,Grocery,,4474.0,4.7,"Cadbury Dairy Milk Chocolate Bar, 360g"
paul russells,Home,12.99,305.0,4.6,paul russells E27 Edison Screw LED Light - Pack of 3 – 13W = 100W Equivalent Replacement Bulb 1521LM Lumens 2700K Standard ES A60 GLS – Bright Energy Saving Bulbs Non-Dimmable - Warm White Frosted
Haraqi,Home,8.99,301.0,4.5,"Haraqi 20 Pack G9 Halogen Bulbs 28W 230V 2800K Warm White 350lm,Clear Capsule Halogen Lamps Dimmable, No Strobe, No Flicker"
Tomosu,Home,8.99,1983.0,4.3,Tomosu 6 Pack R7s Halogen Bulb 118mm 230W Dimmable 230V 4650lm 2800k Warm White Energy Saving Tungsten Linear Bulbs Floodlight J118 Security Light Bulb
Auraglow,Home,16.99,33.0,4.2,"Auraglow Super Bright 15W LED B22 Bayonet Light Bulb, Warm White, 3000K - 1521 Lumens - 100w EQV – Dimmable – 4 Pack"
LOEODO,Home,9.99,96.0,4.6,"LOEODO E27 LED Screw Bulbs 60W Equivalent, 9W, 806 Lumens, 2700K Warm White, Large Screw Bulb, Non-Dimmable, Pack of 6"
Luxvista,Home,10.99,84.0,4.1,"Luxvista 10 x Clear Candle Small Edison Screw Cap SES E14 Lamp Light Bulbs 62W Bulbs, Warm White 2700K, Classic C35 Dimmable Screw in LED Replacement Light Bulb for Chandelier, Touch Lamp, AC 220-240V"
Lindt,Grocery,10.0,12435.0,4.7,"Lindt Lindor Milk Chocolate Truffles Box Large - Approx 26 balls, 337g - Chocolate Truffles with a Smooth Melting Filling - Gift Present or Sharing Box - Valentine's Day, Birthday, Congratulations"
GY,Home,26.99,1975.0,4.3,"GY GU10 LED Bulbs Neutral White 4000K 10W 1100lm, Energy Saving High Lumen Light Bulbs 100W Halogen Light Bulb Equivalent,120° Wide Beam Non-dimmable, Pack of 12"
Morrisons,Home,,,,Morrisons Candle LED 2.3W SES 2pk
Holdsworth Chocolates,Grocery,11.82,1352.0,4.4,Holdsworth Chocolates Classics - Renaissance Collection Assorted Traditional Handmade Chocolate Truffles in Gift Box 200g
Holdsworth Chocolates,Grocery,31.08,199.0,4.2,"Holdsworth Chocolates Classics - Indulgent Collection an Impressive Assortment of Handmade Truffles Creams, Pralines and Caramels all Coasted with Milk, Dark or White Chocolate 600g"
LOHAS-LED,Home,14.49,115.0,4.4,"LOHAS-LED B22 LED Bulbs 150W Equivalent, 17W LED Bayonet Light, Cool White 6000K, Super Bright 1600Lm, Non-Dimmable, Energy Saving Light Bulbs, 2 Pack"
Morrisons,Grocery,6.8,67.0,4.2,Morrisons Milk Chocolate 200g
Belns Melns,Home,9.99,303.0,4.2,"Belns Melns Classic E14 Halogen Candle Bulb 28W Dimmable, Small Edison Screw (SES), 370LM 2700K Warm White Screw Light Bulb, Pack of 5"
Cadbury,Grocery,,963.0,4.7,"Cadbury Boost Chocolate Bar, 148g"
Cadbury,Pharma,1.35,29.0,4.4,Cadbury Timeout Milk Chocolate Covered Wafer 6 x 18g (108g)
Cadbury,Grocery,,1137.0,4.7,"Cadbury Milk Chocolate Mini Rolls, Pack of 10"
Lepro,Home,13.99,1990.0,4.6,"Lepro Bayonet Light Bulb, Cool White 6500K, 60W Equivalent, 8.5W 806LM B22 LED Bulb Daylight White, Energy Saving Light Bulbs Bayonet, Non-dimmable, Pack of 6"
DragonLight,Home,27.99,407.0,4.6,DragonLight 30W Super Bright LED Corn Light Bulbs(250 Watt Equivalent) - B22 Bayonet Cap LED Bulbs - 6000K Daylight 3600 Lumens for Large Area Lighting [Twin Value Pack]
Cadbury,Grocery,5.97,172.0,4.7,"Cadbury Wispa Chocolate Bar, 9 x 23.7g"
Lindt,Grocery,7.5,6674.0,4.6,"Lindt Creation Dessert - 21 Assorted Fine Dark, Milk and White Chocolate Box Medium, 173g - Gift Present or Sharing Box - Valentine's Day, Birthday, Celebrations, Congratulations"
paul russells,Home,3.99,723.0,4.5,"paul russells LED GLS Lights Bayonet Cap B22, 60w Equivalent, 8W 806LM LED Bulbs, 6500K Bright Daylight, Classic Frosted Large A60 BC Standard Energy Saving (Not Dimmable) Globe Lightbulbs, Pack of 1"
Lindt,Grocery,9.0,4397.0,4.6,"Lindt Swiss Luxury Selection - 14 Assorted Milk, White and Dark Chocolate Box Medium, 143g - Gift Present or Sharing Box - Valentine's Day, Birthday, Celebrations, Congratulations"
LOEODO,Home,9.99,89.0,4.6,"LOEODO B22 Bayonet LED Bulbs 60W Equivalent, 9W Light Bulb, 806 Lumens, 6000K Cool White, Energy Saver Bulb, Non-Dimmable, Pack of 6"
Terry's,Grocery,,338.0,4.7,"Terry's Chocolate Orange Bars, 3 x 35g"
Linkind,Home,12.99,347.0,4.6,"Linkind 7.5W E27 LED Bulbs G45/P45 Golf Ball Bulbs, 60W Equivalent, 860 Lumen Daylight 5000K Edison Screw Mini Globe Bulbs, AC 220-240V, Non-Dimmable, 6 Pack"
Xtremeauto,Home,6.99,506.0,4.6,"Xtremeauto H7 Headlight Bulb - X2 H7 477 Car Headlight Bulb, 12V 55W H7 Headlight Bulbs Light Bulbs, Dipped Headlamp Halogen Bulb PX26D Base H7 Headlight Bulbs"
XBOCMY,Home,7.99,276.0,4.5,"XBOCMY G9 Halogen Bulbs, G9 28W Halogen Light Bulbs,Dimmable 230V 2700K Warm White G9 Bulb for Table Lamps, Cabinet Light, Oven, G9 Capsule Bulbs for Lamps, 10 Pack"
EXTRASTAR,Home,9.99,143.0,4.6,"EXTRASTAR 5W B22 LED Bayonet Cap Candle Bulbs C37 Light Bulb, 37W Equivalent Incandescent, Warm White 3000K Energy Saving, 425LM, Non-Dimmable, Pack of 6"
paul russells,Home,9.99,665.0,4.5,"paul russells LED Bulbs Bayonet Cap B22, 100w Equivalent Bulbs, 13W 1521LM LED Bulbs, 6500K Daylight, Classic Frosted A60 BC GLS Standard Energy Saving Non-Dimmable Light Bulbs, Pack of 2"
PHILIPS,Electronics,32.0,16632.0,4.4,"Philips X-tremeVision Pro150 HIR2 car headlight bulb +150%, single blister"
Amazon Basics,Home,6.64,2622.0,4.4,"Amazon Basics LED E14 Small Edison Screw Candle Bulb, 5W (Equivalent to 40W), CRI80, Warm White, Dimmable- Pack of 2"
YUANHENLIZ,Home,9.49,465.0,4.3,"YUANHENLIZ G9 LED Bulbs Warm White Dimmable Energy Saving Lamp 2.5W-3W Wall Light,360 ​​° Degree Beam Angle LED Light Bulb, Equivalent 30W G9 Halogen Bulbs,10 Pack"
Amazon Basics,Home,11.19,1474.0,4.5,"Amazon Basics LED E14 Small Edison Screw Candle Bulb, 2.1W (Equivalent to 25W), Clear Filament, Non Dimmable, Pack of 6, Warm White"
LUTW,Home,11.99,191.0,4.4,"LUTW B22 Led Light Bulbs Bayonet, 60W Equivalent, Cool White 6500K, 9W 900lm LED Bulbs, BC GLS Energy Saving Light Bulbs, Non-dimmable, Pack of 6"
OUKAJO,Home,7.59,252.0,4.5,"OUKAJO Bayonet Light Bulb 60w Equivalent, B22 LED Bulb 9W, Warm White 3000K, 806 Lumen,A60 BC GLS Energy Saving Light Bulb, Non Dimmable, 6 Pack"
GMY,Home,11.99,1435.0,4.5,"GMY MR16 Halogen Light Bulbs 35W 12V, GU5.3 Spotlight Bulb Dimmable, 4000 Hours Extra Long Lifetime, 2 Pin Base 36°Beam Angle, 3000K Warm White Dichroic 6 Pack"
Linkind,Home,10.99,936.0,4.5,"Linkind LED E27 Edison Screw Bulb, 8W (Equivalent to 60W), A60 Daylight White 5000K, 840 Lumens, Non-Dimmable, ERP, CE Certified, E27 Frosted, Pack of 6"
Belns Melns,Home,12.49,619.0,4.6,"E14 LED Candle Light Bulbs, Small Edison Screw (SES) 2700K Warm White Clear Filament - Pack of 6"
COFEMY,Home,9.99,41.0,4.4,"COFEMY E27 Screw LED Bulb - 100 Watt Equivalent LED Bulbs, 1500 LM Cool White 6500K Non-Dimmable Energy Efficient 13W ES Bulbs, Screw in Light Bulb for Bedroom Living Room 4PCS"
LUTW,Home,15.99,23.0,4.6,"LUTW E27 Vintage Light Bulbs, 6W ST64 E27 Edison Screw Bulb 60W Equivalent, 630LM 2700K E27 LED Bulb Warm White, Antique Style Retro Amber Glass Filament Lamp, Non Dimmable, Pack of 6"
Comyan,Home,11.99,2356.0,4.5,Comyan GU10 Halogen Bulbs 50W 230V GU10 Halogen Spotlight Bulbs 450lm 2800K Warm White 40° Beam Angle GU10 Bulbs for Ceiling Lights Dimmable - 6Pack
SAUGLAE,Home,19.99,348.0,4.6,"SAUGLAE 32W LED Light Bulbs, 260W Incandescent Bulbs Equivalent, B22d Bayonet Cap, 3600Lm, 6000K Daylight White, Pack of 2"
Amazon Basics,Home,8.06,5970.0,4.5,"Amazon Basics LED E27 Edison Screw Bulb, 10 W (Equivalent to 75W), Warm White, Non Dimmable - 2 Count (Pack of 1)"
YUANHENLIZ,Home,13.99,965.0,4.2,"YUANHENLIZ G9 LED Light Bulbs Dimmable, 5W LED Small Corn Bulb Warm White, 360° Beam Angle Energy Saving Light Bulbs for Home Lighting LED Lamp 10 Pack"
ROTTYI,Home,10.99,652.0,4.6,"ROTTYI B22 Bayonet Light Bulbs 100W Equivalent, Cool White 6500K Daylight Bulbs, 11W 1210LM LED Bulb, BC A60 GLS Energy Saving Lightbulbs, Classic Shape Non-dimmable, Pack of 6"
Belns Melns,Home,13.99,428.0,4.5,"GU10 LED Bulbs, Warm White 2700K, 5W LED GU10 Spotlight Bulb, 50W Halogen Spotlight, 220-240V 350LM 38 Degree Narrow Beam Angle Energy Saving Non-dimmable Pack of 10"
Lepro,Home,14.99,34048.0,4.6,"Lepro GU10 LED Bulbs, Cool White 5000K, 50W Halogen Spotlight Equivalent, 4W 325lm Energy Saving GU10 LED Light Bulbs, 100° Wide Beam, Non-dimmable, Pack of 10"
Philips Hue,Home,12.5,5547.0,4.5,Philips Hue White A60 Smart LED Light Bulb [E27 Edison Screw] for Home Indoor Lighting with Amazon Echo and Alexa
B4U,Home,6.99,160.0,4.5,"12 Pack G9 40W Halogen Bulbs 230V, Capsules Halogen Light Bulbs 40w, Safety Fused Preventing Lamps Bulb Exploding, Small/Mini Bulbs Halogen G9, Warm White Light 2700K, Up to 2500 Hours Life"
FANTICDE,Home,6.79,76.0,4.5,"FANTICDE-G9 LED Bulbs Warm White - 5W LED G9 Bulb,Equivalent to 50W G9 Halogen Bulb,500LM 3000Kelvin 220-240V,No Flicker,Non-Dimmable Energy,Energy Saving,for Home Lighting Decor 6-Pack"
GY,Home,19.99,3273.0,4.5,"GY GU10 LED Bulbs Cool White 6500K,8W 800lm Energy Saving GU10 LED Light Bulbs,80W Halogen Bulb Equivalent 120° Wide Beam for Ceiling Non-dimmable,Pack of 12"
Enshine,Home,7.64,1051.0,4.5,"Enshine E14 LED Light Bulb, 5W 470lm Small Edison Screw Candle Bulbs, Warm White 2700K, Energy Saving Non-Dimmable, Pack of 6"
DiCUNO,Home,9.99,817.0,4.6,"DiCUNO Vintage Light Bulb E27 Edison Screw Bulb, 6W Equivalent to 60 Watt, Retro Amber Glass Lamp, 2200K Warm White, Non-dimmable, ES LED Filament Lamp Squirrel Cage, ST64, 600LM, 2 Packs"
Vanke,Home,9.99,36.0,4.7,"Vanke E27 Light Bulb 6W, Vintage Edison Screw LED Bulbs Warm White 2700K, 60w Equivalent Energy Saver ST64 Bulb, 700 Lumen, Non-Dimmable, 2-Pack"
Blaupunkt,Home,2.71,514.0,4.5,Blaupunkt E27 LED Light Bulb - 12W - Classic - Daylight - Natural White - Edison Screw - 4000K - Replaces 86W Incandescent Bulb - Frost - 1260 Lumen - Cost Saving - Single Pack
Amazon Basics,Home,7.59,7403.0,4.4,"Amazon Basics LED E27 Edison Screw Bulb, 10.5W (Equivalent to 75W), CRI80, Warm White, Dimmable - Pack of 2"
LOEODO,Home,11.19,32.0,4.1,"LOEODO E27 LED Screw Bulbs 100W Equivalent, 13W Light Bulb, 1200 Lumens, 6000K Cool White, Large Screw Bulb, Non-Dimmable, Pack of 6"
OUKAJO,Home,4.99,220.0,4.4,"OUKAJO E27 Screw Led Light Bulb, Equivalent 60W,3000K Warm White,CRI>80,Large Screw Bulb,Non Flicker,Non Dimmable,4 Pack"
PURSNIC,Home,13.99,2339.0,4.5,"PURSNIC B22 LED Bulbs, 15W B22 Bayonet Light Bulbs Equivalent to 150W Incandescent Bulb, Daylight White 6000K A60 GLS Frosted BC Bulbs, Super Bright 1500LM, 6 Pack"
